Model,Finisaj,Tip_Rozeta,Pret_Maner,Pret_Rozeta,Total
PAPAVERA,KG,WC,389.65,129.59,519.24
PAPAVERA,SNM,OB,361.73,72.44,434.17
PAPAVERA,SNM,PZ,361.73,72.44,434.17
PAPAVERA,SNM,WC,361.73,124.46,486.19
PEONIA,BK,OB,327.91,65.85,393.76
PEONIA,BK,PZ,327.91,66.85,394.76
PEONIA,BK,WC,327.91,113.13,441.04
PEONIA,LC,OB,327.91,65.85,393.76
PEONIA,LC,PZ,327.91,66.85,394.76
PEONIA,LC,WC,327.91,113.13,441.04
PEONIA,SC,OB,327.91,65.85,393.76
PEONIA,SC,PZ,327.91,66.85,394.76
PEONIA,SC,WC,327.91,113.13,441.04
PETUNIA,KG,OB,578.08,93.0,671.08
PETUNIA,KG,PZ,578.08,93.0,671.08
PETUNIA,KG,WC,578.08,136.11,714.19
PETUNIA,LC,OB,481.73,77.5,559.23
PETUNIA,LC,PZ,481.73,77.5,559.23
PETUNIA,LC,WC,481.73,118.84,600.57
PETUNIA,LG,OB,578.08,93.0,671.08
PETUNIA,LG,PZ,578.08,93.0,671.08
PETUNIA,LG,WC,578.08,136.11,714.19
